year,spatial_unit,age,nat,sex,n_jan,births,hist_imm_nat_n,hist_imm_int_n,hist_imm_sub_n,hist_emi_sub_n
2022,1,68,ch,f,624,0,1,0,5,6
2022,1,69,ch,f,592,0,3,0,8,7
2022,1,70,ch,f,601,0,5,0,9,8
2022,1,71,ch,f,565,0,3,0,3,3
2022,1,72,ch,f,596,0,4,0,7,0
2022,1,73,ch,f,577,0,4,0,5,7
2022,1,74,ch,f,566,0,2,1,9,7
2022,1,75,ch,f,562,0,5,0,7,9
2022,1,76,ch,f,601,0,2,0,8,3
2022,1,77,ch,f,556,0,5,0,6,6
2022,1,78,ch,f,571,0,3,1,5,1
2022,1,79,ch,f,555,0,2,2,7,2
2022,1,80,ch,f,508,0,1,2,5,3
2022,1,81,ch,f,438,0,4,0,5,1
2022,1,82,ch,f,401,0,4,1,2,5
2022,1,83,ch,f,397,0,2,0,4,1
2022,1,84,ch,f,370,0,3,1,6,2
2022,1,85,ch,f,340,0,3,0,5,3
2022,1,86,ch,f,355,0,1,0,7,3
2022,1,87,ch,f,321,0,1,1,5,7
2022,1,88,ch,f,294,0,2,0,2,1
2022,1,89,ch,f,262,0,2,0,6,4
2022,1,90,ch,f,251,0,1,0,1,5
2022,1,91,ch,f,189,0,1,0,3,4
2022,1,92,ch,f,207,0,0,0,4,3
2022,1,93,ch,f,173,0,0,0,2,1
2022,1,94,ch,f,137,0,0,0,3,3
2022,1,95,ch,f,96,0,0,0,1,1
2022,1,96,ch,f,74,0,0,0,0,1
2022,1,97,ch,f,56,0,0,0,0,0
2022,1,98,ch,f,44,0,1,0,1,1
2022,1,99,ch,f,31,0,0,0,0,0
2022,1,100,ch,f,47,0,0,0,1,0
2022,1,0,int,m,0,214,4,6,4,4
2022,1,1,int,m,240,0,1,12,10,10
2022,1,2,int,m,204,0,1,14,7,12
2022,1,3,int,m,221,0,3,16,9,10
2022,1,4,int,m,223,0,4,19,8,8
2022,1,5,int,m,225,0,4,13,5,13
2022,1,6,int,m,264,0,3,9,5,6
2022,1,7,int,m,227,0,4,10,5,9
2022,1,8,int,m,232,0,3,11,6,8
2022,1,9,int,m,238,0,1,12,5,5
2022,1,10,int,m,250,0,3,6,6,7
2022,1,11,int,m,230,0,2,12,4,5
2022,1,12,int,m,197,0,1,7,2,3
2022,1,13,int,m,191,0,1,8,6,5
2022,1,14,int,m,229,0,1,9,4,2
2022,1,15,int,m,194,0,2,7,4,9
2022,1,16,int,m,200,0,2,8,7,8
2022,1,17,int,m,202,0,0,7,13,13
2022,1,18,int,m,161,0,5,5,27,17
2022,1,19,int,m,152,0,3,7,13,7
2022,1,20,int,m,176,0,1,7,15,15
2022,1,21,int,m,161,0,5,13,20,10
2022,1,22,int,m,166,0,13,21,35,28
2022,1,23,int,m,173,0,16,33,26,26
2022,1,24,int,m,197,0,11,37,32,20
2022,1,25,int,m,253,0,19,50,42,36
2022,1,26,int,m,275,0,24,44,44,30
2022,1,27,int,m,296,0,23,32,55,32
2022,1,28,int,m,316,0,26,46,53,33
2022,1,29,int,m,379,0,33,44,38,51
2022,1,30,int,m,367,0,29,45,47,37
2022,1,31,int,m,427,0,31,39,48,42
2022,1,32,int,m,460,0,29,59,47,42
2022,1,33,int,m,469,0,31,44,38,37
2022,1,34,int,m,465,0,34,42,34,40
2022,1,35,int,m,462,0,30,48,39,43
2022,1,36,int,m,450,0,28,34,31,37
2022,1,37,int,m,433,0,18,38,30,39
2022,1,38,int,m,476,0,18,35,30,22
2022,1,39,int,m,454,0,21,34,21,29
2022,1,40,int,m,473,0,20,33,27,29
2022,1,41,int,m,463,0,10,23,24,34
2022,1,42,int,m,462,0,17,29,21,26
2022,1,43,int,m,409,0,20,21,27,19
2022,1,44,int,m,416,0,16,12,15,24
2022,1,45,int,m,413,0,17,17,23,22
2022,1,46,int,m,418,0,11,16,17,15
2022,1,47,int,m,396,0,8,25,8,18
2022,1,48,int,m,352,0,9,14,14,14
2022,1,49,int,m,386,0,7,12,13,19
2022,1,50,int,m,331,0,10,10,21,8
2022,1,51,int,m,341,0,6,6,8,11
2022,1,52,int,m,296,0,10,10,15,9
2022,1,53,int,m,311,0,1,21,13,11
2022,1,54,int,m,315,0,6,16,9,12
2022,1,55,int,m,304,0,3,9,7,10
2022,1,56,int,m,296,0,4,11,14,13
2022,1,57,int,m,341,0,4,5,9,11
2022,1,58,int,m,302,0,5,6,8,11
2022,1,59,int,m,291,0,3,10,9,6
2022,1,60,int,m,278,0,1,3,7,11
2022,1,61,int,m,220,0,3,2,6,6
2022,1,62,int,m,234,0,5,1,2,7
2022,1,63,int,m,197,0,3,2,5,2
2022,1,64,int,m,183,0,3,3,1,1
2022,1,65,int,m,151,0,3,0,4,4
2022,1,66,int,m,138,0,2,2,4,2
2022,1,67,int,m,140,0,1,0,2,2
2022,1,68,int,m,120,0,0,0,1,2
2022,1,69,int,m,116,0,0,1,1,1
2022,1,70,int,m,99,0,1,1,1,2
2022,1,71,int,m,97,0,1,1,3,1
2022,1,72,int,m,115,0,1,0,1,1
2022,1,73,int,m,89,0,1,0,2,0
2022,1,74,int,m,95,0,0,0,1,1
2022,1,75,int,m,77,0,2,0,0,0
2022,1,76,int,m,89,0,0,0,1,2
2022,1,77,int,m,70,0,0,0,1,1
2022,1,78,int,m,77,0,0,0,0,1
2022,1,79,int,m,70,0,0,0,0,0
2022,1,80,int,m,68,0,0,0,0,1
2022,1,81,int,m,59,0,0,0,1,1
2022,1,82,int,m,71,0,0,0,1,0
2022,1,83,int,m,53,0,0,0,0,0
2022,1,84,int,m,48,0,0,0,0,0
2022,1,85,int,m,37,0,0,1,0,0
2022,1,86,int,m,37,0,1,0,0,0
2022,1,87,int,m,26,0,1,0,2,0
2022,1,88,int,m,20,0,0,0,0,0
2022,1,89,int,m,16,0,0,0,0,0
2022,1,90,int,m,7,0,0,0,0,0
2022,1,91,int,m,9,0,0,0,0,0
2022,1,92,int,m,4,0,0,0,0,0
2022,1,93,int,m,7,0,0,0,0,0
2022,1,94,int,m,4,0,0,0,1,0
2022,1,95,int,m,3,0,0,0,0,0
2022,1,96,int,m,0,0,0,0,0,0
2022,1,97,int,m,3,0,0,0,0,0
2022,1,98,int,m,0,0,0,0,0,0
2022,1,99,int,m,1,0,0,0,0,0
2022,1,100,int,m,0,0,0,0,0,0
2022,1,0,int,f,0,142,3,1,4,2
2022,1,1,int,f,187,0,9,9,11,7
2022,1,2,int,f,219,0,6,14,8,14
2022,1,3,int,f,218,0,5,12,9,13
2022,1,4,int,f,217,0,5,16,8,9
